0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0.9,0.0,0.0,0.0417605,-0.265956,1.02176,-0.1492249999999999,-0.845128,1.54187,-0.1492249999999999,-4.70113,1.49715,-0.1492249999999999,-4.26116,-3.25787,-0.149224,-0.459378,-6.03966,-0.1492249999999999,-7.03696,-2.01092,-0.149224,-6.01573,6.01449,-0.1492249999999999,-7.04318,-5.98946,-0.1492249999999999,-11.4279,-1.0355,-0.149232,-10.9719,-6.02464,-0.149232,-14.5318,0.00693094,-0.1492249999999999,2.27424,0.0027254,-0.1473949999999999,0.514697,2.30002,-0.1050659999999999,0.512025,-2.33136,-0.1122319999999999,4.97883,-4.99817,-0.1473639999999999,4.97989,5.02929,-0.1050759999999999,2.03674,-6.95322,-0.1472079999999999,7.50018,-0.000507548,-0.129779,13.5358,2.93039,-0.1472499999999999,14.0029,-2.94891,-0.14628,14.2025,-2.79619,-0.1047539999999999,14.4913,1.5728,-0.1297509999999999,0.0
0.98,0.0,0.0,0.0417605,-0.265956,1.02176,-0.1909854999999999,-0.845128,1.54187,-0.1909854999999999,-4.70113,1.49715,-0.1909854999999999,-4.26116,-3.25787,-0.1909845,-0.459378,-6.03966,-0.1909854999999999,-7.03696,-2.01092,-0.1909845,-6.01573,6.01449,-0.1909854999999999,-7.04318,-5.98946,-0.1909854999999999,-11.4279,-1.0355,-0.1909925,-10.9719,-6.02464,-0.1909925,-14.5318,0.00693094,-0.1909854999999999,2.27424,0.0027254,-0.1891554999999999,0.514697,2.30002,-0.1468264999999999,0.512025,-2.33136,-0.1539924999999999,4.97883,-4.99817,-0.1891244999999999,4.97989,5.02929,-0.1468364999999999,2.03674,-6.95322,-0.1889684999999999,7.50018,-0.000507548,-0.1715395,13.5358,2.93039,-0.1890104999999999,14.0029,-2.94891,-0.1880405,14.2025,-2.79619,-0.1465144999999999,14.4913,1.5728,-0.1715114999999999,0.0
1.06,0.0,0.0,0.0417605,-0.265956,1.02176,-0.2327459999999999,-0.845128,1.54187,-0.2327459999999999,-4.70113,1.49715,-0.2327459999999999,-4.26116,-3.25787,-0.232745,-0.459378,-6.03966,-0.2327459999999999,-7.03696,-2.01092,-0.232745,-6.01573,6.01449,-0.2327459999999999,-7.04318,-5.98946,-0.2327459999999999,-11.4279,-1.0355,-0.232753,-10.9719,-6.02464,-0.232753,-14.5318,0.00693094,-0.2327459999999999,2.27424,0.0027254,-0.2309159999999999,0.514697,2.30002,-0.1885869999999999,0.512025,-2.33136,-0.1957529999999999,4.97883,-4.99817,-0.2308849999999999,4.97989,5.02929,-0.1885969999999999,2.03674,-6.95322,-0.230729,7.50018,-0.000507548,-0.2133,13.5358,2.93039,-0.2307709999999999,14.0029,-2.94891,-0.229801,14.2025,-2.79619,-0.1882749999999999,14.4913,1.5728,-0.213272,0.0
1.14,0.0,0.0,0.0417605,-0.265956,1.02176,-0.2745065,-0.845128,1.54187,-0.2745065,-4.70113,1.49715,-0.2745065,-4.26116,-3.25787,-0.2745055,-0.459378,-6.03966,-0.2745065,-7.03696,-2.01092,-0.2745055,-6.01573,6.01449,-0.2745065,-7.04318,-5.98946,-0.2745065,-11.4279,-1.0355,-0.2745135,-10.9719,-6.02464,-0.2745135,-14.5318,0.00693094,-0.2745065,2.27424,0.0027254,-0.2726765,0.514697,2.30002,-0.2303474999999999,0.512025,-2.33136,-0.2375134999999999,4.97883,-4.99817,-0.2726455,4.97989,5.02929,-0.2303574999999999,2.03674,-6.95322,-0.2724895,7.50018,-0.000507548,-0.2550605,13.5358,2.93039,-0.2725315,14.0029,-2.94891,-0.2715615,14.2025,-2.79619,-0.2300354999999999,14.4913,1.5728,-0.2550325,0.0
1.22,0.0,0.0,0.0417605,-0.265956,1.02176,-0.3162669999999999,-0.845128,1.54187,-0.3162669999999999,-4.70113,1.49715,-0.3162669999999999,-4.26116,-3.25787,-0.316266,-0.459378,-6.03966,-0.3162669999999999,-7.03696,-2.01092,-0.316266,-6.01573,6.01449,-0.3162669999999999,-7.04318,-5.98946,-0.3162669999999999,-11.4279,-1.0355,-0.316274,-10.9719,-6.02464,-0.316274,-14.5318,0.00693094,-0.3162669999999999,2.27424,0.0027254,-0.3144369999999999,0.514697,2.30002,-0.2721079999999999,0.512025,-2.33136,-0.2792739999999999,4.97883,-4.99817,-0.3144059999999999,4.97989,5.02929,-0.2721179999999999,2.03674,-6.95322,-0.31425,7.50018,-0.000507548,-0.296821,13.5358,2.93039,-0.3142919999999999,14.0029,-2.94891,-0.313322,14.2025,-2.79619,-0.271796,14.4913,1.5728,-0.296793,0.0
1.3,0.0,0.0,0.0417605,-0.265956,1.02176,-0.3580274999999999,-0.845128,1.54187,-0.3580274999999999,-4.70113,1.49715,-0.3580274999999999,-4.26116,-3.25787,-0.3580264999999999,-0.459378,-6.03966,-0.3580274999999999,-7.03696,-2.01092,-0.3580264999999999,-6.01573,6.01449,-0.3580274999999999,-7.04318,-5.98946,-0.3580274999999999,-11.4279,-1.0355,-0.3580345,-10.9719,-6.02464,-0.3580345,-14.5318,0.00693094,-0.3580274999999999,2.27424,0.0027254,-0.3561974999999999,0.514697,2.30002,-0.3138684999999999,0.512025,-2.33136,-0.3210344999999999,4.97883,-4.99817,-0.3561664999999999,4.97989,5.02929,-0.3138784999999999,2.03674,-6.95322,-0.3560104999999999,7.50018,-0.000507548,-0.3385815,13.5358,2.93039,-0.3560524999999999,14.0029,-2.94891,-0.3550824999999999,14.2025,-2.79619,-0.3135564999999999,14.4913,1.5728,-0.3385534999999999,0.0
1.38,0.0,0.0,0.0417605,-0.265956,1.02176,-0.3997879999999999,-0.845128,1.54187,-0.3997879999999999,-4.70113,1.49715,-0.3997879999999999,-4.26116,-3.25787,-0.3997869999999999,-0.459378,-6.03966,-0.3997879999999999,-7.03696,-2.01092,-0.3997869999999999,-6.01573,6.01449,-0.3997879999999999,-7.04318,-5.98946,-0.3997879999999999,-11.4279,-1.0355,-0.3997949999999999,-10.9719,-6.02464,-0.3997949999999999,-14.5318,0.00693094,-0.3997879999999999,2.27424,0.0027254,-0.3979579999999999,0.514697,2.30002,-0.3556289999999999,0.512025,-2.33136,-0.3627949999999999,4.97883,-4.99817,-0.3979269999999999,4.97989,5.02929,-0.3556389999999999,2.03674,-6.95322,-0.3977709999999999,7.50018,-0.000507548,-0.3803419999999999,13.5358,2.93039,-0.3978129999999999,14.0029,-2.94891,-0.3968429999999999,14.2025,-2.79619,-0.3553169999999999,14.4913,1.5728,-0.3803139999999999,0.0
1.46,0.0,0.0,0.0417605,-0.265956,1.02176,-0.4415484999999999,-0.845128,1.54187,-0.4415484999999999,-4.70113,1.49715,-0.4415484999999999,-4.26116,-3.25787,-0.4415474999999999,-0.459378,-6.03966,-0.4415484999999999,-7.03696,-2.01092,-0.4415474999999999,-6.01573,6.01449,-0.4415484999999999,-7.04318,-5.98946,-0.4415484999999999,-11.4279,-1.0355,-0.4415554999999999,-10.9719,-6.02464,-0.4415554999999999,-14.5318,0.00693094,-0.4415484999999999,2.27424,0.0027254,-0.4397184999999999,0.514697,2.30002,-0.3973894999999999,0.512025,-2.33136,-0.4045554999999999,4.97883,-4.99817,-0.4396874999999999,4.97989,5.02929,-0.3973994999999999,2.03674,-6.95322,-0.4395314999999999,7.50018,-0.000507548,-0.4221024999999999,13.5358,2.93039,-0.4395734999999999,14.0029,-2.94891,-0.4386034999999999,14.2025,-2.79619,-0.3970774999999999,14.4913,1.5728,-0.4220744999999999,0.0
1.54,0.0,0.0,0.0417605,-0.265956,1.02176,-0.4833089999999999,-0.845128,1.54187,-0.4833089999999999,-4.70113,1.49715,-0.4833089999999999,-4.26116,-3.25787,-0.4833079999999999,-0.459378,-6.03966,-0.4833089999999999,-7.03696,-2.01092,-0.4833079999999999,-6.01573,6.01449,-0.4833089999999999,-7.04318,-5.98946,-0.4833089999999999,-11.4279,-1.0355,-0.4833159999999999,-10.9719,-6.02464,-0.4833159999999999,-14.5318,0.00693094,-0.4833089999999999,2.27424,0.0027254,-0.4814789999999999,0.514697,2.30002,-0.4391499999999999,0.512025,-2.33136,-0.4463159999999999,4.97883,-4.99817,-0.4814479999999999,4.97989,5.02929,-0.4391599999999999,2.03674,-6.95322,-0.4812919999999999,7.50018,-0.000507548,-0.4638629999999999,13.5358,2.93039,-0.4813339999999999,14.0029,-2.94891,-0.4803639999999999,14.2025,-2.79619,-0.4388379999999999,14.4913,1.5728,-0.4638349999999999,0.0
1.62,0.0,0.0,0.0417605,-0.265956,1.02176,-0.5250694999999999,-0.845128,1.54187,-0.5250694999999999,-4.70113,1.49715,-0.5250694999999999,-4.26116,-3.25787,-0.5250684999999999,-0.459378,-6.03966,-0.5250694999999999,-7.03696,-2.01092,-0.5250684999999999,-6.01573,6.01449,-0.5250694999999999,-7.04318,-5.98946,-0.5250694999999999,-11.4279,-1.0355,-0.5250765,-10.9719,-6.02464,-0.5250765,-14.5318,0.00693094,-0.5250694999999999,2.27424,0.0027254,-0.5232394999999999,0.514697,2.30002,-0.4809104999999998,0.512025,-2.33136,-0.4880764999999998,4.97883,-4.99817,-0.5232084999999999,4.97989,5.02929,-0.4809204999999998,2.03674,-6.95322,-0.5230524999999999,7.50018,-0.000507548,-0.5056234999999999,13.5358,2.93039,-0.5230944999999999,14.0029,-2.94891,-0.5221244999999999,14.2025,-2.79619,-0.4805984999999999,14.4913,1.5728,-0.5055954999999999,0.0
